,MKT_Index,SMB_Index,HML_Index,RF_Index,MKT-RF,SMB,HML,RF
19260915,106.0286585,96.33327202,101.9789406,100.5856809,-0.21,0.38,-0.17,0.009
19260916,105.8378069,96.03463887,102.0605237,100.5947336,-0.18,-0.31,0.08,0.009
19260917,104.7688451,95.85217306,101.7951664,100.6037871,-1.01,-0.19,-0.26,0.009
19260918,105.502227,95.57420176,101.6526531,100.6128414,0.7,-0.29,-0.14,0.009
19260920,104.8270127,95.62198886,101.6628184,100.6218966,-0.64,0.05,0.01,0.009
19260921,105.1414938,95.2490631,101.8051464,100.6309526,0.3,-0.39,0.14,0.009
19260922,105.0048098,95.2490631,101.8153269,100.6400094,-0.13,0,0.01,0.009
19260923,105.2778224,95.11571441,101.8764161,100.649067,0.26,-0.14,0.06,0.009
19260924,105.9305448,94.91597141,101.8560408,100.6581254,0.62,-0.21,-0.02,0.009
19260925,106.152999,94.93495461,101.285647,100.6671846,0.21,0.02,-0.56,0.009
19260927,106.0256154,95.04887655,101.7009181,100.6762446,-0.12,0.12,0.41,0.009
19260928,106.0256154,95.03937166,101.355135,100.6853055,0,-0.01,-0.34,0.009
19260929,105.7075385,95.21044253,101.2132378,100.6943672,-0.3,0.18,-0.14,0.009
19260930,106.0246612,95.02002165,101.2537231,100.7034297,0.3,-0.2,0.04,0.009
19261001,106.7986412,94.78247159,101.0410903,100.7165211,0.73,-0.25,-0.21,0.013
19261002,106.6918425,94.73508036,101.0006738,100.7296143,-0.1,-0.05,-0.04,0.013
19261004,105.1981568,94.59297774,100.9602736,100.7427091,-1.4,-0.15,-0.04,0.013
19261005,104.040977,94.99026824,100.2434556,100.7558057,-1.1,0.42,-0.71,0.013
19261006,103.4583476,94.28734026,100.0128957,100.7689039,-0.56,-0.74,-0.23,0.013
19261007,102.6617183,94.66448962,100.2529266,100.7820039,-0.77,0.4,0.24,0.013
19261008,103.2674224,94.29529811,100.8845201,100.7951056,0.59,-0.39,0.63,0.013
19261009,102.2760552,94.71962695,100.7836355,100.8082089,-0.96,0.45,-0.1,0.013
19261011,101.5703504,94.62490733,100.6425385,100.821314,-0.69,-0.1,-0.14,0.013
19261013,102.2711858,94.33157011,100.5922172,100.8344208,0.69,-0.31,-0.05,0.013
19261014,103.2632163,93.88821173,101.6886724,100.8475292,0.97,-0.47,1.09,0.013
19261015,101.3734994,94.00087759,101.4039441,100.8606394,-1.83,0.12,-0.28,0.013
19261016,100.6334729,93.70947487,101.8298406,100.8737513,-0.73,-0.31,0.42,0.013
19261018,101.3379072,93.53142686,102.257526,100.8868649,0.7,-0.19,0.42,0.013
19261019,100.2637254,93.89619943,101.7462383,100.8999802,-1.06,0.39,-0.5,0.013
19261020,100.0130661,93.27648451,100.5558073,100.9130972,-0.25,-0.66,-1.17,0.013
19261021,101.543266,93.18320803,101.0988087,100.9262159,1.53,-0.1,0.54,0.013
19261022,101.1370929,93.56525918,101.3414459,100.9393363,-0.4,0.41,0.24,0.013
19261023,101.6832332,94.06115506,101.5137263,100.9524584,0.54,0.53,0.17,0.013
19261025,101.58155,94.3903691,101.4934236,100.9655822,-0.1,0.35,-0.02,0.013
19261026,101.906611,94.42812525,101.7471571,100.9787077,0.32,0.04,0.25,0.013
19261027,102.9256771,93.99375587,101.9506514,100.991835,1,-0.46,0.2,0.013
19261028,102.8433365,94.63291341,102.1749429,101.0049639,-0.08,0.68,0.22,0.013
19261029,102.7816305,94.63291341,101.8377656,101.0180946,-0.06,0,-0.33,0.013
19261030,102.5246764,94.81271594,102.09236,101.0312269,-0.25,0.19,0.25,0.013
19261101,102.99629,94.69894069,101.6533628,101.044361,0.46,-0.12,-0.43,0.013
19261103,103.2022825,94.49060302,101.3585681,101.0574967,0.2,-0.22,-0.29,0.013
19261104,103.811176,94.35831617,102.068078,101.0706342,0.59,-0.14,0.7,0.013
19261105,103.8838438,94.28282952,102.3232482,101.0837734,0.07,-0.08,0.25,0.013
19261106,104.050058,94.00940931,102.3744099,101.0969143,0.16,-0.29,0.05,0.013
19261108,104.5911183,93.94360273,102.4563094,101.1100569,0.52,-0.07,0.08,0.013
19261109,104.7270867,94.21603917,101.9030453,101.1232012,0.13,0.29,-0.54,0.013
19261110,104.0987242,94.34794163,101.9947581,101.1363472,-0.6,0.14,0.09,0.013
19261111,104.7961857,94.35737642,102.0763539,101.1494949,0.67,0.01,0.08,0.013
19261112,105.0476965,94.40455511,101.6578408,101.1626444,0.24,0.05,-0.41,0.013
19261113,104.795582,94.49895967,101.4951883,101.1757955,-0.24,0.1,-0.16,0.013
19261115,105.1833257,94.74465696,101.2718989,101.1889484,0.37,0.26,-0.22,0.013
19261116,105.3411007,94.46989746,101.2010085,101.2021029,0.15,-0.29,-0.07,0.013
19261117,104.9724068,94.1581468,101.6564131,101.2152592,-0.35,-0.33,0.45,0.013
19261118,104.4685393,94.28055239,101.9207197,101.2284172,-0.48,0.13,0.26,0.013
19261119,103.7999406,94.8462357,101.9411039,101.2415769,-0.64,0.6,0.02,0.013
19261120,104.2151404,94.83675108,102.0940155,101.2547383,0.4,-0.01,0.15,0.013
19261122,104.8091667,94.98848988,101.8694087,101.2679014,0.57,0.16,-0.22,0.013
19261123,105.1550369,95.01698643,102.0527736,101.2810662,0.33,0.03,0.18,0.013
19261124,105.239161,94.80794906,102.287495,101.2942328,0.08,-0.22,0.23,0.013
19261126,105.4496393,94.81742985,102.2977238,101.307401,0.2,0.01,0.01,0.013
19261127,105.2914648,94.76053939,102.0317497,101.320571,-0.15,-0.06,-0.26,0.013
19261129,104.9018864,94.63735069,102.0929687,101.3337426,-0.37,-0.13,0.06,0.013
19261130,105.1746313,94.65627816,101.6029225,101.346916,0.26,0.02,-0.48,0.013
19261201,105.55326,94.7036063,101.2574726,101.3580642,0.36,0.05,-0.34,0.011
19261202,106.0915816,94.68466558,101.3486043,101.3692136,0.51,-0.02,0.09,0.011
19261203,106.4310747,94.73200791,101.3080648,101.3803642,0.32,0.05,-0.04,0.011
19261204,106.2501418,94.91199873,101.4195037,101.391516,-0.17,0.19,0.11,0.011
19261206,106.2926419,95.19673472,101.0746774,101.4026691,0.04,0.3,-0.34,0.011
19261207,106.2501248,95.52040362,100.569304,101.4138234,-0.04,0.34,-0.5,0.011
19261208,106.1651247,95.72099647,100.8207273,101.4249789,-0.08,0.21,0.25,0.011
19261209,106.6428678,95.59655917,101.2643385,101.4361357,0.45,-0.13,0.44,0.011
19261210,107.0161178,95.44360468,101.7605337,101.4472936,0.35,-0.16,0.49,0.011
19261211,107.1124324,95.34816107,101.2517311,101.4584528,0.09,-0.1,-0.5,0.011
19261213,107.5623046,95.93931967,101.2821066,101.4696133,0.42,0.62,0.03,0.011
19261214,107.6698669,95.85297428,101.4340297,101.4807749,0.1,-0.09,0.15,0.011
19261215,107.8529056,95.66126834,101.616611,101.4919378,0.17,-0.2,0.18,0.011
19261216,107.1734323,95.46037967,101.6877426,101.5031019,-0.63,-0.21,0.07,0.011
19261217,108.1487106,94.74442683,102.4097256,101.5142673,0.91,-0.75,0.71,0.011
19261218,108.6029352,94.54546353,102.614545,101.5254338,0.42,-0.21,0.2,0.011
19261220,108.2662661,94.6210999,102.4811461,101.5366016,-0.31,0.08,-0.13,0.011
19261221,108.2337862,94.25207761,102.286432,101.5477707,-0.03,-0.39,-0.19,0.011
19261222,108.2554329,94.07299866,101.7443139,101.5589409,0.02,-0.19,-0.53,0.011
19261223,108.5585481,94.07299866,101.27629,101.5701124,0.28,0,-0.46,0.011
19261224,108.8950796,94.27055196,101.5396084,101.5812851,0.31,0.21,0.26,0.011
19261227,108.6555105,94.11029202,101.1639118,101.5924591,-0.22,-0.17,-0.37,0.011
19261228,107.4928965,94.05382585,100.9919332,101.6036342,-1.07,-0.06,-0.17,0.011
19261229,107.9658653,93.88452896,100.9616356,101.6148106,0.44,-0.18,-0.03,0.011
19261230,107.5879847,94.30700934,101.0726934,101.6259883,-0.35,0.45,0.11,0.011
19261231,107.9430251,94.59936107,101.7397732,101.6371671,0.33,0.31,0.66,0.011
19270103,107.0902752,94.76963992,101.821165,101.6473308,-0.79,0.18,0.08,0.01
